wave,thr_arm5
1406.18,0.358796
1438.23,0.443287
1460.21,0.497685
1479.96,0.542824
1491.88,0.563657
1516.10,0.594907
1545.53,0.616319
1574.96,0.620949
1611.48,0.610532
1642.40,0.585648
1671.46,0.548611
1691.58,0.520255
1723.62,0.463542
1744.86,0.418981
1774.66,0.354745
1801.12,0.300347
