wave,thr_arm1
374.888,0.328704
381.222,0.401042
394.262,0.498843
405.067,0.547454
416.617,0.581019
429.285,0.611111
440.089,0.623264
453.875,0.616898
461.699,0.598958
471.386,0.570023
481.446,0.528356
489.642,0.490162
503.800,0.418403
517.213,0.343750
