lamA thr
3500.0 0.5420862099735599
3510.0 0.5461062577175867
3520.0 0.5501263054616132
3530.0 0.5541463532056399
3540.0 0.5581664009496665
3550.0 0.5621864486936933
3560.0 0.5662064964377198
3570.0 0.5702265441817466
3580.0 0.5742360404402039
3590.0 0.5779855372722001
3600.0 0.5817350341041961
3610.0 0.5854845309361923
3620.0 0.5892340277681885
3630.0 0.5929835246001846
3640.0 0.5967330214321807
3650.0 0.6004825182641769
3660.0 0.6040818015695357
3670.0 0.6076449292617835
3680.0 0.6112080569540311
3690.0 0.6147711846462789
3700.0 0.6183343123385265
3710.0 0.6218974400307743
3720.0 0.6254605677230219
3730.0 0.6290236954152697
3740.0 0.6325868231075175
3750.0 0.6361499507997652
3760.0 0.6397130784920129
3770.0 0.6430871849794536
3780.0 0.6461223204795029
3790.0 0.6491574559795521
3800.0 0.6521925914796015
3810.0 0.6552277269796508
3820.0 0.6582628624797001
3830.0 0.6612979979797495
3840.0 0.6643331334797987
3850.0 0.667368268979848
3860.0 0.6704034044798974
3870.0 0.6734385399799467
3880.0 0.676473675479996
3890.0 0.6792185177181649
3900.0 0.6813232260968021
3910.0 0.6834279344754394
3920.0 0.6855326428540767
3930.0 0.687637351232714
3940.0 0.6897420596113512
3950.0 0.6918467679899886
3960.0 0.693951476368626
3970.0 0.6960561847472632
3980.0 0.6981608931259005
3990.0 0.7002656015045376
4000.0 0.7096866672777915
4010.0 0.7118132997020395
4020.0 0.7139399321262877
4030.0 0.7158881457392346
4040.0 0.7176327250343585
4050.0 0.7193773043294823
4060.0 0.7211218836246062
4070.0 0.7228664629197299
4080.0 0.7246110422148538
4090.0 0.7263556215099777
4100.0 0.7281002008051015
4110.0 0.7298447801002252
4120.0 0.7315893593953492
4130.0 0.7333339386904729
4140.0 0.7350785179855969
4150.0 0.7368230972807206
4160.0 0.7384617707092981
4170.0 0.7397418505897445
4180.0 0.7410219304701909
4190.0 0.7423020103506375
4200.0 0.7435820902310839
4210.0 0.7448621701115304
4220.0 0.746142249991977
4230.0 0.7474223298724234
4240.0 0.74870240975287
4250.0 0.7499824896333164
4260.0 0.7512625695137628
4270.0 0.7525426493942092
4280.0 0.7538227292746558
4290.0 0.7551028091551023
4300.0 0.7563828890355487
4310.0 0.7576629689159952
4320.0 0.7589430487964416
4330.0 0.7602231286768881
4340.0 0.7615032085573348
4350.0 0.7627832884377812
4360.0 0.7640633683182276
4370.0 0.765193934953098
4380.0 0.7662803448263215
4390.0 0.767366754699545
4400.0 0.7684531645727684
4410.0 0.7695395744459919
4420.0 0.7706259843192154
4430.0 0.7717123941924389
4440.0 0.7727988040656623
4450.0 0.7738852139388859
4460.0 0.7749716238121094
4470.0 0.7760580336853329
4480.0 0.7771444435585563
4490.0 0.7782308534317798
4500.0 0.7793172633050032
4510.0 0.7804036731782269
4520.0 0.7814900830514503
4530.0 0.7825764929246738
4540.0 0.7836629027978972
4550.0 0.7847493126711208
4560.0 0.7858357225443442
4570.0 0.7869221324175678
4580.0 0.7880085422907912
4590.0 0.7890949521640147
4600.0 0.7901106878162834
4610.0 0.7909691163315882
4620.0 0.791827544846893
4630.0 0.7926859733621978
4640.0 0.7935444018775027
4650.0 0.7944028303928075
4660.0 0.7952612589081123
4670.0 0.796119687423417
4680.0 0.7969781159387219
4690.0 0.7978365444540267
4700.0 0.7986949729693315
4710.0 0.7995534014846364
4720.0 0.8004118299999412
4730.0 0.8012702585152459
4740.0 0.8021286870305506
4750.0 0.8029871155458556
4760.0 0.8038455440611604
4770.0 0.8047039725764652
4780.0 0.80556240109177
4790.0 0.8064208296070748
4800.0 0.8072792581223796
4810.0 0.8081376866376844
4820.0 0.8089961151529893
4830.0 0.809854543668294
4840.0 0.8107129721835988
4850.0 0.8115714006989038
4860.0 0.8124298292142085
4870.0 0.8132882577295132
4880.0 0.8141466862448181
4890.0 0.8150051147601229
4900.0 0.8158635432754278
4910.0 0.816623727668057
4920.0 0.8173271969993311
4930.0 0.8180306663306053
4940.0 0.8187341356618795
4950.0 0.8194376049931535
4960.0 0.8201410743244276
4970.0 0.8208445436557018
4980.0 0.8215480129869759
4990.0 0.82225148231825
5000.0 0.8229549516495241
5010.0 0.8236584209807982
5020.0 0.8243618903120723
5030.0 0.8250653596433464
5040.0 0.8257688289746206
5050.0 0.8264722983058947
5060.0 0.8271757676371688
5070.0 0.827879236968443
5080.0 0.8285827062997171
5090.0 0.8292861756309912
5100.0 0.8299896449622652
5110.0 0.8306931142935393
5120.0 0.8313965836248134
5130.0 0.8321000529560875
5140.0 0.8328035222873617
5150.0 0.8335069916186357
5160.0 0.8342104609499098
5170.0 0.8349139302811841
5180.0 0.8356173996124582
5190.0 0.8361928024079869
5200.0 0.8367638347839916
5210.0 0.8373348671599964
5220.0 0.8379058995360011
5230.0 0.8384769319120059
5240.0 0.8390479642880107
5250.0 0.8396189966640154
5260.0 0.8401900290400203
5270.0 0.840761061416025
5280.0 0.8413320937920298
5290.0 0.8419031261680346
5300.0 0.8424741585440394
5310.0 0.843045190920044
5320.0 0.8436162232960489
5330.0 0.8441872556720535
5340.0 0.8447582880480583
5350.0 0.8453293204240631
5360.0 0.8459003528000679
5370.0 0.8464713851760727
5380.0 0.8470424175520774
5390.0 0.8476134499280823
5400.0 0.8481844823040869
5410.0 0.8487555146800917
