lamA thr_arm1 thr_arm2 thr_arm3 thr_arm4 thr_arm5
3500.0 0.0 0.0 0.0 0.0 0.0
3510.0 0.0 0.0 0.0 0.0 0.0
3520.0 0.0 0.0 0.0 0.0 0.0
3530.0 nan nan nan nan nan
3540.0 0.0 0.0 0.0 0.0 0.0
3550.0 0.0 0.0 0.0 0.0 0.0
3560.0 0.0 0.0 0.0 0.0 0.0
3570.0 0.0 0.0 0.0 0.0 0.0
3580.0 0.0 0.0 0.0 0.0 0.0
3590.0 0.0 0.0 0.0 0.0 0.0
3600.0 0.34047699202688825 0.0 0.0 0.0 0.0
3610.0 0.3461978397535244 0.0 0.0 0.0 0.0
3620.0 0.35191868748016053 0.0 0.0 0.0 0.0
3630.0 0.3576395352067967 0.0 0.0 0.0 0.0
3640.0 0.36336038293343287 0.0 0.0 0.0 0.0
3650.0 0.36908123066006904 0.0 0.0 0.0 0.0
3660.0 0.3748020783867052 0.0 0.0 0.0 0.0
3670.0 0.3805229261133414 0.0 0.0 0.0 0.0
3680.0 0.38624377383997754 0.0 0.0 0.0 0.0
3690.0 0.3919646215666137 0.0 0.0 0.0 0.0
3700.0 0.3976854692932499 0.0 0.0 0.0 0.0
3710.0 0.40126361584334663 0.0 0.0 0.0 0.0
3720.0 0.4045850221628838 0.0 0.0 0.0 0.0
3730.0 0.407906428482421 0.0 0.0 0.0 0.0
3740.0 0.4112278348019581 0.0 0.0 0.0 0.0
3750.0 0.41454924112149527 0.0 0.0 0.0 0.0
3760.0 0.4178706474410325 0.0 0.0 0.0 0.0
3770.0 0.4211920537605696 0.0 0.0 0.0 0.0
3780.0 0.4245134600801068 0.0 0.0 0.0 0.0
3790.0 0.42783486639964396 0.0 0.0 0.0 0.0
3800.0 0.4311562727191811 0.0 0.0 0.0 0.0
3810.0 0.4344776790387183 0.0 0.0 0.0 0.0
3820.0 0.43779908535825546 0.0 0.0 0.0 0.0
3830.0 0.44112049167779266 0.0 0.0 0.0 0.0
3840.0 0.4444418979973298 0.0 0.0 0.0 0.0
3850.0 0.44776330431686695 0.0 0.0 0.0 0.0
3860.0 0.45108471063640415 0.0 0.0 0.0 0.0
3870.0 0.45440611695594124 0.0 0.0 0.0 0.0
3880.0 0.4577275232754784 0.0 0.0 0.0 0.0
3890.0 0.46104892959501553 0.0 0.0 0.0 0.0
3900.0 0.46437033591455273 0.0 0.0 0.0 0.0
3910.0 0.4676917422340899 0.0 0.0 0.0 0.0
3920.0 0.4710131485536271 0.0 0.0 0.0 0.0
3930.0 0.4743345548731642 0.0 0.0 0.0 0.0
3940.0 0.4776559611927014 0.0 0.0 0.0 0.0
3950.0 0.4809773675122386 0.0 0.0 0.0 0.0
3960.0 0.4842987738317757 0.0 0.0 0.0 0.0
3970.0 0.4876201801513129 0.0 0.0 0.0 0.0
3980.0 0.49094158647085007 0.0 0.0 0.0 0.0
3990.0 0.4942629927903872 0.0 0.0 0.0 0.0
4000.0 0.4957777333043667 0.0 0.0 0.0 0.0
4010.0 0.4964500695277783 0.0 0.0 0.0 0.0
4020.0 0.4971224057511899 0.0 0.0 0.0 0.0
4030.0 0.49779474197460155 0.0 0.0 0.0 0.0
4040.0 0.49846707819801317 0.0 0.0 0.0 0.0
4050.0 0.49913941442142473 0.0 0.0 0.0 0.0
4060.0 0.4998117506448364 0.0 0.0 0.0 0.0
4070.0 0.500484086868248 0.0 0.0 0.0 0.0
4080.0 0.5011564230916596 0.0 0.0 0.0 0.0
4090.0 0.5018287593150712 0.0 0.0 0.0 0.0
4100.0 0.5025010955384829 0.0 0.0 0.0 0.0
4110.0 0.5031734317618944 0.0 0.0 0.0 0.0
4120.0 0.503845767985306 0.0 0.0 0.0 0.0
4130.0 0.5045181042087176 0.0 0.0 0.0 0.0
4140.0 0.5051904404321292 0.0 0.0 0.0 0.0
4150.0 0.5058627766555408 0.0 0.0 0.0 0.0
4160.0 0.5065351128789525 0.0 0.0 0.0 0.0
4170.0 0.507207449102364 0.0 0.0 0.0 0.0
4180.0 0.5078797853257757 0.0 0.0 0.0 0.0
4190.0 0.5085521215491873 0.0 0.0 0.0 0.0
4200.0 0.509224457772599 0.0 0.0 0.0 0.0
4210.0 0.5098967939960105 0.0 0.0 0.0 0.0
4220.0 0.5105691302194221 0.0 0.0 0.0 0.0
4230.0 0.5112414664428337 0.0 0.0 0.0 0.0
4240.0 0.5119138026662453 0.0 0.0 0.0 0.0
4250.0 0.512586138889657 0.0 0.0 0.0 0.0
4260.0 0.5132584751130685 0.0 0.0 0.0 0.0
4270.0 0.5139308113364802 0.0 0.0 0.0 0.0
4280.0 0.5146031475598918 0.0 0.0 0.0 0.0
4290.0 0.5152754837833035 0.0 0.0 0.0 0.0
4300.0 0.515947820006715 0.0 0.0 0.0 0.0
4310.0 0.5166201562301266 0.0 0.0 0.0 0.0
4320.0 0.5172924924535381 0.0 0.0 0.0 0.0
4330.0 0.5179648286769498 0.0 0.0 0.0 0.0
4340.0 0.5186371649003614 0.0 0.0 0.0 0.0
4350.0 0.519309501123773 0.0 0.0 0.0 0.0
4360.0 0.5199818373471846 0.0 0.0 0.0 0.0
4370.0 0.5206541735705963 0.0 0.0 0.0 0.0
4380.0 0.5213265097940079 0.0 0.0 0.0 0.0
4390.0 0.5219988460174195 0.0 0.0 0.0 0.0
4400.0 0.5226711822408311 0.0 0.0 0.0 0.0
4410.0 0.5233435184642427 0.0 0.0 0.0 0.0
4420.0 0.5240158546876543 0.0 0.0 0.0 0.0
4430.0 0.5246881909110659 0.0 0.0 0.0 0.0
4440.0 0.5253605271344776 0.0 0.0 0.0 0.0
4450.0 0.5260328633578891 0.0 0.0 0.0 0.0
4460.0 0.5267051995813008 0.0 0.0 0.0 0.0
4470.0 0.5273775358047124 0.0 0.0 0.0 0.0
4480.0 0.528049872028124 0.0 0.0 0.0 0.0
4490.0 0.5287222082515356 0.0 0.0 0.0 0.0
4500.0 0.5293112146596859 0.0 0.0 0.0 0.0
4510.0 0.528282942408377 0.0 0.0 0.0 0.0
4520.0 0.5272546701570681 0.0 0.0 0.0 0.0
4530.0 0.5262263979057592 0.0 0.0 0.0 0.0
4540.0 0.5251981256544503 0.0 0.0 0.0 0.0
4550.0 0.5241698534031415 0.0 0.0 0.0 0.0
4560.0 0.5231415811518325 0.0 0.0 0.0 0.0
4570.0 0.5221133089005237 0.0 0.0 0.0 0.0
4580.0 0.5210850366492147 0.0 0.0 0.0 0.0
4590.0 0.5200567643979058 0.0 0.0 0.0 0.0
4600.0 0.5190284921465969 0.0 0.0 0.0 0.0
4610.0 0.518000219895288 0.0 0.0 0.0 0.0
