wave,thr_arm2
573.472,0.336806
580.924,0.410880
595.082,0.530093
604.024,0.575231
616.692,0.614583
630.849,0.638310
640.909,0.653356
649.478,0.653356
659.165,0.641204
676.304,0.586806
685.991,0.546296
703.875,0.455440
714.307,0.378472
